DATE,TOTAL AMOUNT
2022-07-03,83.0
2022-07-04,466.0
2022-07-05,843.5
2022-07-06,574.2
2022-07-07,325.5
2022-07-08,350.0
2022-07-09,314.2
2022-07-10,262.5
2022-07-11,850.5
2022-07-12,323.8
2022-07-13,492.5
2022-07-14,685.4
2022-07-15,709.5
2022-07-16,485.9
2022-07-17,259.2
2022-07-18,657.0
2022-07-19,603.5
2022-07-20,339.1
2022-07-21,708.9
2022-07-22,501.6
2022-07-23,881.4
2022-07-24,114.0
2022-07-25,529.7
2022-07-26,330.1
2022-07-27,431.5
2022-07-28,707.0
2022-07-29,210.3
2022-07-30,327.8
2022-07-31,570.6
2022-08-01,1171.8
2022-08-02,750.0
2022-08-03,539.6
2022-08-04,1097.9
2022-08-05,550.9
2022-08-06,691.0
2022-08-07,241.6
2022-08-08,392.7
2022-08-09,553.6
2022-08-10,542.4
2022-08-11,373.5
2022-08-12,626.1
2022-08-13,299.6
2022-08-14,356.0
2022-08-15,727.6
2022-08-16,527.3
2022-08-17,497.0
2022-08-18,364.7
2022-08-19,552.9
2022-08-20,497.9
2022-08-21,330.5
2022-08-22,730.7
2022-08-23,447.0
2022-08-24,902.5
2022-08-25,473.4
2022-08-26,398.6
2022-08-27,206.0
2022-08-28,300.0
2022-08-29,579.2
2022-08-30,993.8
2022-08-31,449.2
2022-09-01,419.1
2022-09-02,407.1
2022-09-03,246.1
2022-09-04,654.1
2022-09-05,344.0
2022-09-06,275.4
2022-09-07,526.7
2022-09-08,528.0
2022-09-09,543.5
2022-09-10,428.7
2022-09-11,325.2
2022-09-12,511.8
2022-09-13,587.5
2022-09-14,687.3
2022-09-15,327.0
2022-09-16,396.6
2022-09-17,314.7
2022-09-18,161.1
2022-09-19,441.3
2022-09-20,502.5
2022-09-21,366.1
2022-09-22,412.6
2022-09-23,510.7
2022-09-24,646.2
2022-09-25,551.2
2022-09-26,584.0
2022-09-27,594.5
2022-09-28,550.1
2022-09-29,708.6
2022-09-30,443.0
2022-10-01,252.0
2022-10-02,601.4
2022-10-03,595.0
2022-10-04,549.8
2022-10-05,643.1
2022-10-06,524.0
2022-10-07,580.5
2022-10-08,894.3
2022-10-09,483.5
2022-10-10,519.6
2022-10-11,561.0
2022-10-12,480.0
2022-10-13,768.6
2022-10-14,530.7
2022-10-15,531.5
2022-10-16,405.8
2022-10-17,696.7
2022-10-18,358.9
2022-10-19,663.2
2022-10-20,572.8
2022-10-21,492.1
2022-10-22,616.0
2022-10-23,1292.0
2022-10-24,774.1
2022-10-25,468.1
2022-10-26,809.3
2022-10-27,463.4
2022-10-28,588.0
2022-10-29,211.3
2022-10-30,472.7
2022-10-31,596.8
2022-11-01,828.0
2022-11-02,812.6
2022-11-03,914.0
2022-11-04,842.9
2022-11-05,850.1
2022-11-06,336.1
2022-11-07,713.3
2022-11-08,649.6
2022-11-09,356.2
2022-11-10,627.1
2022-11-11,782.0
2022-11-12,597.7
2022-11-13,504.5
2022-11-14,601.4
2022-11-15,889.4
2022-11-16,601.3
2022-11-17,661.9
2022-11-18,1480.5
2022-11-19,1272.0
2022-11-20,1095.3
2022-11-21,1397.5
2022-11-22,1402.1
2022-11-23,1185.5
2022-11-24,895.1
2022-11-25,1168.5
2022-11-26,948.5
2022-11-27,844.7
2022-11-28,681.5
2022-11-29,1440.5
2022-11-30,1001.1
2022-12-01,499.0
2022-12-02,1300.2
2022-12-03,1153.0
2022-12-04,1063.4
2022-12-05,1302.5
2022-12-06,575.6
2022-12-07,1511.9
2022-12-08,592.9
2022-12-09,1163.5
2022-12-10,966.0
2022-12-11,812.4
2022-12-12,1631.5
2022-12-13,1399.7
2022-12-14,1006.5
2022-12-15,1598.2
2022-12-16,935.5
2022-12-17,1145.0
2022-12-18,929.0
2022-12-19,1025.49
2022-12-20,1158.89
2022-12-21,1866.5
2022-12-22,1964.89
2022-12-23,1473.0
2022-12-24,1338.8
2022-12-25,321.5
2022-12-26,1145.5
2022-12-27,1082.7
2022-12-28,1440.5
2022-12-29,1577.5
2022-12-30,891.0
2022-12-31,1762.7
2023-01-01,1224.0
2023-01-02,940.6
2023-01-03,2031.8
2023-01-04,864.0
2023-01-05,1538.5
2023-01-06,2603.0
2023-01-07,1575.9
2023-01-08,852.3
2023-01-09,1278.0
2023-01-10,1405.0
2023-01-11,1383.5
2023-01-12,1441.5
2023-01-13,2326.0
2023-01-14,1431.0
2023-01-15,988.1
2023-01-16,1439.9
2023-01-17,608.0
2023-01-18,1028.5
2023-01-19,855.5
2023-01-20,1568.9
2023-01-21,772.5
2023-01-22,1140.4
2023-01-23,1143.0
2023-01-24,632.0
2023-01-25,1290.5
2023-01-26,2149.5
2023-01-27,1374.5
2023-01-28,1198.0
2023-01-29,1472.5
2023-01-30,1038.0
2023-01-31,913.0
2023-02-01,858.5
2023-02-02,1796.0
2023-02-03,1920.5
2023-02-04,1448.6
2023-02-05,947.2
2023-02-06,1196.9
2023-02-07,837.0
2023-02-08,1672.0
2023-02-09,475.6
2023-02-10,1046.3
2023-02-11,811.5
2023-02-12,683.5
2023-02-13,2698.0
2023-02-14,624.5
2023-02-15,1109.0
2023-02-16,888.5
2023-02-17,937.0
2023-02-18,1570.5
2023-02-19,942.5
2023-02-20,1062.5
2023-02-21,1049.0
2023-02-22,1188.8
2023-02-23,1439.5
2023-02-24,1366.0
2023-02-25,1471.0
2023-02-26,1223.5
2023-02-27,1857.5
2023-02-28,1909.0
2023-03-01,917.0
2023-03-02,1224.83
